"Alter","Weiblich","Bezugsdauer","Vitality1","Vitality2","Sozial1","Sozial2","Mastery1","Mastery2","Perspektive1","Perspektive2","Interventionsgruppe"
46,100,87,NA,NA,NA,NA,NA,NA,NA,NA,1
34,100,154,3,4.75,1.33333333333333,1.66666666666667,3.25,3,2.75,1.5,1
41,0,23,4.25,4.75,4,3,1.75,2.75,3.5,3.5,1
57,0,317,NA,NA,NA,NA,NA,NA,NA,NA,1
42,100,109,NA,NA,NA,NA,NA,NA,NA,NA,1
35,100,1,2.5,3.5,3,3,3.75,4,3,5,1
53,100,145,4,4.5,5,5,5,5,5,5,0
33,0,62,3.5,3,4.33333333333333,4,4,4.25,3.25,3.25,0
24,0,2,4,3.5,5,5,4.75,4.25,4.75,5,1
21,0,46,3.75,2.75,2.66666666666667,3.66666666666667,2.75,2.75,2.5,2.5,1
53,0,29,3.5,3,3.33333333333333,3,2.75,3.5,2.25,3.5,0
53,0,42,3.75,3.5,2.33333333333333,2.66666666666667,3.75,2.25,1.75,1.5,1
44,0,43,NA,NA,NA,NA,NA,NA,NA,NA,1
57,100,286,2.75,3,3.33333333333333,3.33333333333333,2.5,2,2.25,2,1
38,100,1,4,5,4.33333333333333,5,2.5,4,3.5,5,1
37,0,9,2.5,4.5,3,3.66666666666667,3,1.25,2.25,2.25,1
31,0,66,2.5,4.25,2.66666666666667,4,2.75,3.5,2.5,3,1
56,0,71,3,2.5,5,3,3,2.25,5,2.25,1
50,100,98,2.75,3.5,3.66666666666667,4,3,3.5,1.5,2,1
48,0,3,4.5,5,3.33333333333333,4,1.75,2.75,4,4.5,1
47,0,189,2.5,2.25,3,3.66666666666667,4,3.25,1,3,0
49,0,3,4,4,3.66666666666667,3.66666666666667,3.5,3.75,3.25,3.75,1
46,100,39,3.75,3.75,2.33333333333333,5,3.5,3.5,5,4,0
31,100,31,3,3.5,4.33333333333333,3,3,3.75,3.25,4.5,1
24,0,18,3.25,3,3,2.33333333333333,2.5,3.25,3,2.75,0
44,0,65,2,1.75,1.33333333333333,3.33333333333333,1.75,1.75,2,1.25,1
26,0,1,2.5,3.25,3.66666666666667,4,1.75,2.5,2.75,5,1
40,0,34,4,3.5,5,4.33333333333333,3.25,3.5,4.75,4.5,1
52,100,15,NA,NA,NA,NA,NA,NA,NA,NA,1
40,100,141,2.75,2.75,4,2.66666666666667,3.75,3,3.75,3.75,1
20,100,14,2.5,2.25,4.66666666666667,3.66666666666667,3.25,3,3.75,2.75,0
62,0,15,3,3.5,5,5,3,3,2,4.75,1
58,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,1
19,0,15,3,3,4,4,4,4,4,4.25,0
28,0,2,3.5,2.25,4.33333333333333,5,3.25,4.5,3.75,3,1
38,100,21,4,5,4,3,3.5,3,4.25,3,1
38,100,2,1.75,5,3.33333333333333,4,2.75,1.75,3.25,4.25,1
56,0,48,NA,NA,NA,NA,NA,NA,NA,NA,0
49,100,140,2.25,3.5,2.33333333333333,3.33333333333333,2,2.25,4,3,1
46,100,9,1.5,2,5,5,3,1.5,3,2.25,1
35,100,88,4,3.5,5,5,3.75,3.75,5,4.75,1
61,0,8,3,3.5,1.66666666666667,2.66666666666667,3,2.5,1,2,1
41,0,2,3.75,4.75,4,5,4.75,5,4.25,5,1
54,100,229,3,3,4.33333333333333,4.33333333333333,2.75,3,1.75,3,1
51,0,215,3.5,3,2.33333333333333,3.33333333333333,1.75,1.5,3.25,2.25,1
45,100,14,2.5,3,1.66666666666667,4.66666666666667,1.75,3,3,4.75,1
40,0,80,3,3.75,3,3.33333333333333,4.25,4.25,2.25,4.25,1
49,100,46,3.5,3.75,3.66666666666667,5,4.25,4.25,3.25,4.25,1
33,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1
29,100,53,1.5,1.5,2,3,2,3.25,2,3,0
61,0,4,4.5,4.5,3.33333333333333,3.33333333333333,3.75,4.25,3.75,4.5,1
57,0,149,3.5,3.5,4.33333333333333,3.33333333333333,3.5,3.5,4.5,4,1
57,100,36,NA,NA,NA,NA,NA,NA,NA,NA,1
34,0,10,3.75,2.5,4.66666666666667,4.33333333333333,3.75,2.5,4,4,1
59,0,42,2.5,3.5,3,2.66666666666667,1.75,2,1.5,1.75,0
49,0,94,3.5,3.75,4.33333333333333,3.66666666666667,4,3.75,4,3.75,0
48,100,95,2.75,4,2.66666666666667,2.33333333333333,2.75,3,2.5,2.5,1
30,100,66,2.25,4.25,2.66666666666667,3,3.75,3,3.25,3,1
41,100,2,4.25,4,5,5,4.5,4.5,2.5,4.5,1
24,0,13,2.5,2.25,4,3.33333333333333,2.25,3.75,1.5,2.5,1
54,100,19,4.25,4.75,4,4.33333333333333,4.75,4.5,3.75,3.25,1
38,0,99,3.25,3.5,4.33333333333333,5,3.25,3.5,3.25,3.75,1
33,100,172,4.5,3.75,4,4.33333333333333,3,3.75,1.75,3,0
59,0,96,NA,NA,NA,NA,NA,NA,NA,NA,1
55,0,49,5,5,4.33333333333333,4,5,5,5,4.25,1
62,0,6,5,5,5,3.66666666666667,4.75,5,3.5,5,1
49,100,93,3.75,3.5,4,3.33333333333333,2,3.25,3.25,3.25,1
35,0,2,3.5,4,3.33333333333333,3.33333333333333,3.75,3.75,2.75,3.25,1
48,100,216,2.5,3,5,2.33333333333333,2.75,1.75,4.25,4,0
20,0,4,2.25,2.5,5,5,2.75,3,2.75,3,1
33,100,18,3.5,3.75,4,4,2.5,2.25,3.5,3.5,1
37,100,11,4.75,4,3,3.33333333333333,4.25,3.75,4,3.25,1
36,0,19,NA,NA,NA,NA,NA,NA,NA,NA,1
57,100,92,2.5,3.25,4.33333333333333,2,1.75,3.75,3.75,4,0
37,100,185,2.5,2,3.66666666666667,4,2.5,3.75,1.25,1.75,1
63,0,3,3.75,2.75,3.33333333333333,3,2.5,2.75,3.25,2.5,1
60,0,101,2.75,2.25,3.33333333333333,3.66666666666667,4,2.75,2.5,2.75,1
62,0,155,2,3.25,2.33333333333333,2.33333333333333,3.5,4.5,1,1,0
43,0,3,3.75,5,4.33333333333333,5,3,4.5,3,4.75,1
41,0,4,3.5,4,3.33333333333333,3.33333333333333,4.25,3.5,4.25,5,1
29,0,2,3,3.25,4,3.66666666666667,4.25,3,3,3,0
56,100,68,NA,NA,NA,NA,NA,NA,NA,NA,1
52,0,52,2,3.75,1,3,3.25,3.5,1,1,1
35,100,23,3.25,3,4.66666666666667,4.33333333333333,3.75,3.25,4.25,3.75,1
56,0,77,3,3,5,4,3,4,3,1,1
45,0,1,4.25,5,4.33333333333333,5,3,5,5,5,1
53,0,4,4,1.75,3.66666666666667,4.33333333333333,3.25,4.25,3.75,4.5,1
61,100,141,3,3.25,4,2.33333333333333,3,2.75,1.75,1.75,0
53,0,90,NA,NA,NA,NA,NA,NA,NA,NA,1
41,100,59,NA,NA,NA,NA,NA,NA,NA,NA,0
38,0,15,3,2.25,2.33333333333333,3,3.5,2.5,2.5,3.25,0
44,0,57,NA,NA,NA,NA,NA,NA,NA,NA,0
42,0,27,4.25,4.75,5,3,3,4.75,3.75,4,0
